date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:53:27	5186/5186	---M--	200	added ('OK')	image/png	etag:%221442-63db4a8f-9e25c0d8baea3eb3;;;%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/assets/img/bg/preloader.png	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/assets/img/bg/preloader.png	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:28	93546/93546	---M-Z	200	added ('OK')	text/html	etag:%2216d6a-63db4a8f-6a0b1caec467fb46;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/index.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/index-2.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:28	29308/29308	---M-Z	200	added ('OK')	image/svg+xml	etag:%22727c-63db4a8f-3a4090f2f9096f1a;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/assets/img/logo/logo.svg	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/assets/img/logo/logo.svg	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:28	87832/87832	---M-Z	200	added ('OK')	text/html	etag:%2215718-63db4a8f-a781cca0c792de86;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/index-2.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/index-3.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:29	80808/80808	---M-Z	200	added ('OK')	text/html	etag:%2213ba8-63db4a8f-70ae7dce230640e7;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/index-3.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/index-4.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:29	57500/57500	---M-Z	200	added ('OK')	text/html	etag:%22e09c-63db4a8f-1228e6b005818097;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/about.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/about.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:30	70435/70435	---M-Z	200	added ('OK')	text/html	etag:%2211323-63db4a8f-7aea3b49ba8ef128;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/programs.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/programs.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:30	67524/67524	---M-Z	200	added ('OK')	text/html	etag:%22107c4-63db4a8f-64982619d690e47d;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/program-details.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/program-details.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:30	35362/35362	---M--	200	added ('OK')	image/png	etag:%228a22-63db4a8f-43aaffd6ce018301;;;%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/assets/img/logo/mega-menu-1.png	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/assets/img/logo/mega-menu-1.png	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:31	71440/71440	---M-Z	200	added ('OK')	text/html	etag:%2211710-63db4a8f-b903f27bb6cdf688;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/shop.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/shop.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:31	53073/53073	---M-Z	200	added ('OK')	text/html	etag:%22cf51-63db4a8f-f97185da0f2d2848;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/shop-details.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/shop-details.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:32	37586/37586	---M-Z	200	added ('OK')	text/html	etag:%2292d2-63db4a8f-15c153308962a4c9;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/wishlist.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/wishlist.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:32	42010/42010	---M-Z	200	added ('OK')	text/html	etag:%22a41a-63db4a8f-baf409edc50ca287;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/cart.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/cart.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:33	55341/55341	---M-Z	200	added ('OK')	text/html	etag:%22d82d-63db4a8f-14cddb2614395e74;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/checkout.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/checkout.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:33	44951/44951	---M-Z	200	added ('OK')	text/html	etag:%22af97-63db4a8f-6723af2fafd253e2;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/teacher.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/teacher.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:34	88226/88226	---M-Z	200	added ('OK')	text/html	etag:%22158a2-63db4a8f-45186398268f5a11;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/teacher-details.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/teacher-details.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:34	86140/86140	---M-Z	200	added ('OK')	text/html	etag:%221507c-63db4a8f-5e62d70d84fef47a;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/time-table.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/time-table.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:35	42103/42103	---M-Z	200	added ('OK')	text/html	etag:%22a477-63db4a8f-681c8bacf30164f2;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/testimonial.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/testimonial.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:35	37836/37836	---M-Z	200	added ('OK')	text/html	etag:%2293cc-63db4a8f-e4798f4a397abf0c;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/gallery.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/gallery.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:35	50946/50946	---M-Z	200	added ('OK')	text/html	etag:%22c702-63db4a8f-5720a22475075646;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/faq.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/faq.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
21:53:36	50595/50595	---M-Z	200	added ('OK')	text/html	etag:%22c5a3-63db4a8f-7d2921c52973862c;gz%22	https://codeskdhaka.com/html/kindedo-prev/kindedo/classes.html	C:/Users/ZED/Desktop/clone%20war/kindedo/kindedo/codeskdhaka.com/html/kindedo-prev/kindedo/classes.html	(from https://codeskdhaka.com/html/kindedo-prev/kindedo/)
